,0
alb,1031.6548443121176
swm1,1031.649548212411
swm2,1031.6472955317422
nwm,1031.6533312898341
tyr1,1031.6382726726843
tyr2,1031.6362011352928
adr1,
adr2,1031.7150904084137
aeg,1031.7388044910806
ion1,1031.6914395131657
ion2,1031.7067534811442
ion3,1031.701631880529
lev1,1031.7214027962173
lev2,1031.7225850823395
lev3,1031.712417818208
lev4,1031.7183629845745
